blood [1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0]
paperback [1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]
jetskis [1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0]
treasure [1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]
clues [1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0]
Things [1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0]
missiles [1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0]
missile [2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0]
robot [1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0]
dollars [1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0]
Mjolnir [0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0]
boards [0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0]
bodies [0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0]
body [0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0]
film [0,0,2,1,0,3,0,2,0,0,0,1,1,0,0,0,2,0,0]
Crystal [0,0,3,3,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0]
rock [0,1,1,2,1,0,1,1,0,1,0,2,0,0,1,1,0,0,0]
motorbike [0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0]
Movie [0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0]
water [1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0]
glass [0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]
garbage [0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0]
tail [0,0,0,0,3,0,2,0,0,0,0,0,1,0,0,1,0,0,0]
eye [0,0,1,0,1,0,1,1,0,0,0,2,0,0,0,0,0,0,0]
toy [0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0]
star [0,0,0,0,2,5,0,0,0,2,1,4,4,3,0,2,2,0,1]
Gun [0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2]
songs [0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0]
anime [0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0]
movie [0,0,0,0,0,3,0,0,0,0,0,1,0,1,0,0,0,1,0]
VHS [0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0]
box [0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1]
cameras [0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0]
award [0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0]
gelato [0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0]
wing [1,3,2,2,0,0,0,1,4,1,2,1,1,0,3,1,0,0,0]
trains [0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0]
brains [0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0]
lines [0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0]
gold [0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3]
music [0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0]
phone [0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0]
wall [0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0]
ring [1,1,1,2,5,1,5,1,3,4,3,5,5,2,1,1,3,14,2]
virus [0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0]
sneakers [0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0]
drum [0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0]
string [0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0]
capsule [0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0]
photo [0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0]
prism [0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0]
wine [0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0]
meteor [0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0]
drugs [0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0]
Balls [0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0]
food [0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0]
videos [0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0]
Chrystal [0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0]
guns [0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3]
tread [0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1]
strongbox [0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1]
